"All","Alle"
"You don't need to select a shipping method.","Es muss keine Versandmethode ausgewählt werden."
"Customer's Activities","Aktivitäten des Kunden"
"Refresh","Aktualisieren"
"Item","Artikel"
"Add To Order","Keine Artikel"
"Configure and Add to Order","Konfigurieren und zur Bestellung hinzufügen"
"No items","Keine Elemente"
"Append Comments","Kommentare hinzufügen"
"Email Order Confirmation","E-Mail Bestellbestätigung"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Gesamtsumme inkl. MwSt."
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Zwischensumme (inkl. MwSt.)"
"Payment &amp; Shipping Method","Zahlungs &amp; Versandart"
"Payment Information","Zahlungsinformation"
"The order was placed using %1.","Bestellung wurde in %1 aufgegeben."
"Shipping Information","Versandinformation"
"Items to Refund","Artikel die rückerstattet werden müssen"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","Steuerbetrag"
"Discount Amount","Rabattbetrag"
"Row Total","Pos. Zwischensumme"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Kommentare zur Gutschrift"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","E-Mail Kopie der Gutschrift"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Items Refunded"
"No Items","Keine Artikel"
"Memo Total","Memo Total"
"Credit Memo History","Gutschrift Vorgeschichte"
"Credit Memo Totals","Gutschriftsumme"
"Customer Name: %1","Kundenname: %1"
"Purchased From: %1","Bestellt in: %1"
"Gift Message","Geschenknachricht"
"From:","Von:"
"To:","Bis:"
"Message:","Nachricht:"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Gift Options","Geschenkoptionen"
"Create Shipment","Lieferung erstellen"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Zu berechnende Menge"
"Invoice History","Rechnungsverlauf"
"Invoice Comments","Kommentare zur Rechnung"
"Invoice Totals","Rechnungssummen"
"Amount","Betrag"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Not Capture","Nicht erfassen"
"The invoice will be created offline without the payment gateway.","Die Rechnung wird ohne die Zahlungs-Gateway offline erstellt werden."
"Email Copy of Invoice","E-Mail Kopie der Rechnung"
"Items Invoiced","In Rechnung gestellte Artikel"
"Total Tax","Total Tax"
"From Name","From Name"
"To Name","To Name"
"Status","Status"
"Comment","Kommentar"
"Notification Not Applicable","Benachrichtigung nicht zutreffend"
"Order & Account Information","Bestellung & Kontoinformationen"
"The order confirmation email was sent","Die Bestellbestätigungs E-Mail wurde gesendet"
"The order confirmation email is not sent","Die Bestellbestätigungs E-Mail wird nicht gesendet"
"Order Date","Bestelldatum"
"Order Date (%1)","Bestelldatum (%1)"
"Purchased From","Bestellt in"
"Link to the New Order","Link zu der neuen Bestellung"
"Link to the Previous Order","Link zu der vorherigen Bestellung"
"Placed from IP","Erstellt über IP"
"%1 / %2 rate:","%1 / %2 Rate:"
"Customer Name","Kundenname"
"Customer Group","Kundengruppe"
"Notes for this Order","Notizen für diese Bestellung"
"Comment added","Kommentar hinzugefügt"
"Transaction Data","Transaction Data"
"Transaction ID","Transaktion ID"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","Bestellnummer"
"Transaction Type","Transaktions Art"
"Is Closed","Is Closed"
"Created At","Erstellt am"
"Child Transactions","Child Transactions"
"Transaction Details","Transaktionsdetails"
"Items","Artikel"
"Gift Message for this Order","Geschenknachricht für diese Bestellung"
"Shipped By","Shipped By"
"Tracking Number","Trackingnummer"
"Billing Last Name","Rechnung Nachname"
"Find Order By","Finde Bestellung durch"
"ZIP Code","Postleitzahl"
"Billing ZIP Code","Rechnung PLZ"
"Continue","Fortsetzen"
"Print All Refunds","Alle Rückerstattungen drucken"
"Refund #","Refund #"
"Print Refund","Print Refund"
"Product Name","Artikelname"
"Order #","Bestellung #"
"Date","Datum"
"Ship To","Verschicken an"
"Actions","Aktionen"
"View Order","Bestellung ansehen"
"You have placed no orders.","Sie haben noch keine Bestellungen aufgegeben."
"No shipping information available","No shipping information available"
"Print Order","Bestellung drucken"
"Print All Invoices","Print All Invoices"
"Invoice #","Invoice #"
"Print Invoice","Rechnung drucken"
"Qty Invoiced","Menge in Rechnung gestellt"
"Close","Schließen"
"About Your Order","About Your Order"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Bestelldatum:</span> %1"
"Refund #%1","Refund #%1"
"Shipment #%1","Shipment #%1"
"Qty Shipped","Versandte Menge"
"Recent Orders","Letzte Bestellungen"
"View All","Alle anzeigen"
"Gift Message for This Order","Geschenknachricht für diese Bestellung"
"Recently Ordered","Zuletzt bestellt"
"Add to Cart","In den Warenkorb"
"Search","Suche"
"Credit memo for your %store_name order","Credit memo for your %store_name order"
"%name,","%name,"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Bestellung überprüfen, indem Sie sich bei <a href=""%account_url"">Ihrem Konto anmelden</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oder rufen Sie uns unter <a href=""tel:%store_phone"">%store_phone</a> an"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Your Credit Memo #%creditmemo_id for Order #%order_id"
"Billing Info","Zahlungsinformationen"
"Shipping Info","Versandinformationen"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Your order #%increment_id has been updated with a status of <strong>%order_status</strong>."
"Invoice for your %store_name order","Rechnung für Ihre %store_name Bestellung"
"Your Invoice #%invoice_id for Order #%order_id","Your Invoice #%invoice_id for Order #%order_id"
"Update to your %store_name invoice","Aktualisierung für Ihre %store_name Rechnung"
"Your %store_name order confirmation","Your %store_name order confirmation"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Once your package ships we will send you a tracking number."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Once your package ships we will send an email with a link to track your order."
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your business."
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
"Gift Options for","Geschenkoptionen für"
"Add Products","Artikel hinzufügen"
"You have item changes","You have item changes"
"Ok","Ok"
"Operations","Aktionen"
"Create","Create"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","Allgemein"
"Hide Customer IP","IP-Adresse des Kunden verstecken"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo für PDF-Ausdrucke (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Ihr Standardlogo wird in PDF- und HTML-Dokumenten verwendet.<br />(jpeg, tiff, png) Sollten Verzerrungen im PDF-Dokument auftreten, versuchen Sie bitte ein größeres Bild zu verwenden."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo ausschließlich für HTML-Dokumente. Wenn leer, wird das Standardlogo verwendet.<br />(jpeg, gif, png)"
"Address","Adresse"
"Minimum Order Amount","Mindestbestellwert"
"Enable","Aktivieren"
"Minimum Amount","Mindestbetrag"
"Subtotal after discount","Zwischensumme nach Rabatt"
"Include Tax to Amount","Steuer in Betrag einbeziehen"
"Description Message","Beschreibungsnachricht"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Diese Meldung wird im Warenkorb angezeigt, wenn die Zwischensumme (nach Rabatt) niedriger ist als der minimal zulässige Betrag."
"Error to Show in Shopping Cart","Fehler, anzuzeigen im Warenkorb"
"Validate Each Address Separately in Multi-address Checkout","Validiere jede Adresse im Multi-Adress Checkout"
"Multi-address Description Message","Mehrfach-Adressen Beschreibungsnachricht"
"We'll use the default description above if you leave this empty.","Wir verwenden die obige Standardbeschreibung, wenn Sie diese leer lassen."
"Multi-address Error to Show in Shopping Cart","Mehrfach-Adressen Fehler, anzuzeigen im Warenkorb"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Übersicht"
"Use Aggregated Data","Aggregierte Daten verwenden"
"Orders Cron Settings","Cron Einstellungen Bestellungen"
"Pending Payment Order Lifetime (minutes)","Lebensdauer eines Auftrags mit ausstehender Zahlung (Minuten)"
"Sales Emails","Verkaufsemails"
"Asynchronous sending","Asynchronous sending"
"Enabled","Aktiviert"
"New Order Confirmation Email Sender","Neuer Bestellbestätigungs E-Mail Absender"
"New Order Confirmation Template","Neue Bestellbestätigungs E-Mail Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"New Order Confirmation Template for Guest","Neue Bestellbestätigungs E-Mail Vorlage für Gast"
"Send Order Email Copy To","Send Order Email Copy To"
"Comma-separated","Durch Kommata getrennt"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Sende Kommentare zur Bestellung in Kopie (Methode)"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Sende Kommentare zur Rechnung in Kopie (Methode)"
"Shipment","Versand"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","Kommentare zum Versand"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Sende Kommentare zum Versand in Kopie (Methode)"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Sende Kommentare zur Gutschrift in Kopie (Methode)"
"PDF Print-outs","PDF Ausdrucke"
"Display Order ID in Header","Bestellnummer im Kopfbereich anzeigen"
"Customer Order Status Notification","Customer Order Status Notification"
"Asynchronous indexing","Asynchrones indizieren"
"Orders and Returns Search Form","Orders and Returns Search Form"
"Anchor Custom Title","Individueller Link-Text"
"Template","Vorlage"
"Default Template","Default Template"
"Name","Name"
"Phone","Telefonnummer"
"ZIP/Post Code","Postleitzahl"
"Signed-up Point","Signed-up Point"
"Website","Website"
"Bill-to Name","Rechnungsname"
"Created","Erstellt"
"Invoice Date","Rechnungsdatum"
"Ship-to Name","Versandname"
"Ship Date","Versanddatum"
"Total Quantity","Gesamtmenge"
"Default Status","Standard Status"
"State Code and Title","State Code and Title"
"Item Status","Item Status"
"Original Price","Originalpreis"
"Tax Percent","Tax Percent"
"All Store Views","Alle Store Views"
"PDF Credit Memos","PDF Gutschriften"
"Purchase Point","Verkaufsort"
"Print Invoices","Rechnungen drucken"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Gutschriften drucken"
"Print All","Alle drucken"
"Print Shipping Labels","Print Shipping Labels"
"Purchase Date","Kaufdatum"
"Grand Total (Base)","Gesamtsumme (Basis)"
"Grand Total (Purchased)","Gesamtsumme (Einkauf)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"PDF Invoices","PDF Rechnungen"
"PDF Shipments","PDF Lieferungen"
"PDF Creditmemos","PDF Gutschriften"
"Refunds","Rückerstattungen"
"Shipment with requested ID %1 doesn't correspond with Order with requested ID %2.","Shipment with requested ID %1 doesn't correspond with Order with requested ID %2."
"Move to Archive","Wir konnten die ausgewählten Bestellungen nicht archivieren."
"Move to Order Management","Ins Bestellmanagement verschieben"
"We have archived the order.","Die Bestellung wurde archiviert."
"Please specify the order ID to be archived.","Bitte geben Sie die ID der Bestellung ein, welche archiviert werden soll."
"Credit Memos","Gutschriften"
"Invoices","Rechnungen"
"We archived %1 order(s).","Es wurde(n) %1 Bestellung(en) archiviert."
"We can't archive the selected order(s).","Die gewählte(n) Bestellung(en) kann/können nicht archiviert werden."
"We removed %1 order(s) from the archive.","%1 Bestellung(en) wurden aus dem Archiv entfernt."
"Orders","Bestellungen"
"We have removed the order from the archive.","Die Bestellung wurde aus dem Archiv entfernt."
"Please specify the order ID to be removed from archive.","Bitte geben Sie die Nummer der Bestellung ein, welche aus dem Archiv entfernt werden soll."
"Shipments","Lieferscheine"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Dieses Archiv enthält %1 Bestellungen. Alle werden nach der Deaktivierung des Archivs in die normale Tabelle verschoben."
"Archive","Archivieren"
"Restore from Archive","Aus dem Archiv wiederherstellen"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Archivierung aktivieren"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Hinzufügen"
"Sales Archive","Sales Archive"
"All Store Views","Alle Store Views"
"Purchased From","Bestellt in"
"PDF Credit Memos","PDF Gutschriften"
"Credit Memo","Gutschrift"
"Created","Erstellt"
"Order","Bestellung"
"Order Date","Bestelldatum"
"Bill-to Name","Rechnungsname"
"Status","Status"
"Refunded","Erstattet"
"Order Status","Bestellstatus"
"Billing Address","Rechnungsadresse"
"Shipping Address","Lieferadresse"
"Customer Name","Kundenname"
"Email","E-Mail"
"Customer Group","Kundengruppe"
"Payment Method","Zahlungsart"
"Shipping Information","Versandinformation"
"Subtotal","Zwischensumme"
"Shipping & Handling","Versand & Bearbeitung"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Anpassungsgebühr"
"Grand Total","Gesamtsumme"
"Return to Order Management","Return to Order Management"
"Purchase Point","Verkaufsort"
"Cancel","Abbrechen"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Gutschriften drucken"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Kaufdatum"
"Ship-to Name","Versandname"
"Grand Total (Base)","Gesamtsumme (Basis)"
"Grand Total (Purchased)","Gesamtsumme (Einkauf)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Gesamterstattung"
"PDF Invoices","PDF Rechnungen"
"Invoice","Rechnung"
"Invoice Date","Rechnungsdatum"
"Order #","Bestellung #"
"Amount","Betrag"
"PDF Shipments","PDF Lieferungen"
"Shipment","Versand"
"Ship Date","Versanddatum"
"Total Quantity","Gesamtmenge"
"Go to Archive","Go to Archive"
"The ""%1"" product is not part of the current creditmemo.","Das Produkt ""%1"" ist nicht Bestandteil der aktuellen Gutschrift."
"The return to stock argument contains product item that is not part of the original order.","The return to stock argument contains product item that is not part of the original order."
"Cart Price Rules","Warenkorb Preisregeln"
"Add New Rule","Neue Regel"
"Delete","Löschen"
"Are you sure you want to delete this?","Sind Sie sicher, dass Sie dies löschen wollen?"
"Reset","Zurücksetzen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"Actions","Aktionen"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Wende die Regel nur auf Artikel im Warenkorb an, welche die folgenden Bedingungen erfüllen (leer lassen für alle Artikel)."
"Apply To","Anwenden auf"
"Conditions","Bedingungen"
"Apply the rule only if the following conditions are met (leave blank for all products).","Regel nur anwenden, wenn die folgenden Bedingungen erfüllt sind (leer lassen, um alle Produkte einzuschließen)."
"Manage Coupon Codes","Gutscheine verwalten"
"Coupon Qty","Coupon Menge"
"Code Length","Codelänge"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen."
"Code Format","Code-Format"
"Code Prefix","Code Präfix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"If empty no separation.","Wenn leer, dann keine Trennung."
"Generate","Erstellen"
"Coupon Code","Rabattcode"
"Created","Erstellt"
"Uses","Verwendungen"
"No","Nein"
"Yes","Ja"
"Times Used","Anzahl Verwendungen"
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete the selected coupon(s)?","Sind Sie sicher, dass Sie die ausgewählte Gutscheine löschen möchten?"
"Labels","Bezeichnungen"
"Store View Specific Labels","Store View spezifische Bezeichnungen"
"ID","ID"
"Rule","Regel"
"Start","Start"
"End","Ende"
"Status","Status"
"%1 - Discounts and Coupons","%1 - Rabatte und Gutscheine"
"Coupons/Discounts","Gutscheine/Rabatte"
"Promotions","Preisregeln"
"You deleted the rule.","Sie haben die Regel gelöscht."
"We can't delete the rule right now. Please review the log and try again.","Die Regel kann im Moment nicht gelöscht werden. Bitte das Log prüfen und erneut versuchen."
"We can't find a rule to delete.","Es konnte keine Regel zum Löschen gefunden werden."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Edit Rule","Regel bearbeiten"
"New Rule","Neue Regel"
"New Cart Price Rule","Neue Warenkorb Preisregel"
"Rule is not defined","Regel ist nicht definiert"
"%1 coupon(s) have been generated.","%1 Gutscheine wurden generiert."
"Invalid data provided","Ungültige Daten angegeben"
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"Catalog","Katalog"
"The wrong rule is specified.","The wrong rule is specified."
"You saved the rule.","Regel wurde gespeichert."
"Something went wrong while saving the rule data. Please review the error log.","Während dem Speichern ist ein Fehler aufgetreten. Bitte error Log prüfen."
"Alphanumeric","Alphanumerisch"
"Alphabetical","Alphabetisch"
"Numeric","Numerisch"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"Specified rule does not allow coupons","Angegebene Regel erlaubt keine Rabattcodes"
"Specified rule only allows auto generated coupons","Specified rule only allows auto generated coupons"
"Specified rule does not allow auto generated coupons","Specified rule does not allow auto generated coupons"
"Error occurred when saving coupon: %1","Fehler beim Speichern von Rabattcode: %1"
"Coupon with the same code","Rabattcode mit dem gleichen Code"
"No Coupon","Ohne Rabattcode"
"Specific Coupon","Nur mit angegebenem Rabattcode"
"Auto","Auto"
"Can't acquire coupon.","Kann Gutschein nicht erstellen."
"Update the Product","Produkt aktualisieren"
"Special Price","Sonderpreis"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Update product's %1 %2: %3","Aktualisiere %1 %2 des Artikels: %3"
"Subtotal","Zwischensumme"
"Total Items Quantity","Artikelgesamtmenge"
"Total Weight","Gesamtgewicht"
"Shipping Method","Versandart"
"Shipping Postcode","Versand-Postleitzahl"
"Shipping Region","Versandregion"
"Shipping State/Province","Versand-Bundesland"
"Shipping Country","Versandland"
"Product attribute combination","Artikelattribut-Kombination"
"Products subselection","Artikel-Unterauswahl"
"Conditions combination","Bedingungskombination"
"Cart Attribute","Warenkorbattribut"
"Quantity in cart","Menge im Warenkorb"
"Price in cart","Preis im Warenkorb"
"Row total in cart","Positionssumme im Warenkorb"
"Conditions Combination","Bedingungs-Kombination"
"Cart Item Attribute","Warenkorb-Artikelattribut"
"Product Attribute","Artikelattribut"
"FOUND","GEFUNDEN"
"NOT FOUND","NICHT GEFUNDEN"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","Gesamtmenge"
"total amount","Gesamtsumme"
"is","ist"
"is not","ist nicht"
"equals or greater than","größer gleich als"
"equals or less than","kleiner gleich als"
"greater than","größer als"
"less than","kleiner als"
"is one of","ist eines von"
"is not one of","ist nicht eines von"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Percent of product price discount","Prozentualer Rabatt je Artikel"
"Fixed amount discount","Fester Rabattbetrag"
"Fixed amount discount for whole cart","Fester Rabattbetrag für den gesamten Warenkorb"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattmenge ist Y)"
"Active","Aktiv"
"Inactive","Inaktiv"
"Specified rule does not allow automatic coupon generation","Specified rule does not allow automatic coupon generation"
"Error occurred when generating coupons: %1","Error occurred when generating coupons: %1"
"Some coupons are invalid.","Einige Rabattcodes sind ungültig."
"Item totals are not set for the rule.","Item totals are not set for the rule."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Warenkorb-Preisregel(n) basierend auf dem Attribut ""%2"" wurden deaktiviert."
"Apply Discount Code","Gutscheincode anwenden"
"Enter discount code","Gutscheincode eingeben"
"Apply Discount","Gutschein einlösen"
"Cancel coupon","Rabattcode stornieren"
"Your coupon was successfully removed.","Ihr Rabattcode wurde erfolgreich entfernt."
"Your coupon was successfully applied.","Ihr Rabattcode wurde erfolgreich angewendet."
"Promotion","Promotion"
"Auto Generated Specific Coupon Codes","Automatisch erstellte Rabattcodes"
"Web Site","Website"
"Priority","Priorität"
"Cart Price Rule","Warenkorb Preisregel"
"Back","Zurück"
"Currently Active","Zurzeit aktiv"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Description","Beschreibung"
"Websites","Websites"
"Customer Groups","Kundengruppen"
"Coupon","Rabattcode"
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn Sie dies aktivieren und die Regel speichern, können Sie im nächsten Schritt den Assistent für mehrere Rabattcodes nutzen."
"Use Auto Generation","Assistent zur Erstellung nutzen"
"Uses per Coupon","Verwendungen pro Rabattcode"
"Usage limit enforced for logged in customers only.","Nutzungslimit wird nur für angemeldete Kunden erzwungen."
"Uses per Customer","Verwendungen pro Kunde"
"From","Von"
"To","Bis"
"Public In RSS Feed","Im öffentlichen RSS-Feed anzeigen"
"Apply","Anwenden"
"Discount Amount","Rabattbetrag"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Discount amount is applied to subtotal only","Rabattbetrag wird nur auf die Zwischensumme angewendet"
"Discount amount is applied to subtotal and shipping amount separately","Rabattbetrag wird auf Zwischensumme und Versandkosten Betrag separat angewendet"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Discard subsequent rules"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"sales_rule","sales_rule"
"Magento\SalesRule\Api\Data\RuleInterface","Magento\SalesRule\Api\Data\RuleInterface"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Während der Verarbeitung ist ein Fehler aufgetreten; Ablaufdatum des Gutschein mit Id %1 wurde nicht aktualisiert. Die Fehlermeldung war: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Zukünftigen Update in diesem Zeitbereich ist bereits vorhanden. Wählen Sie einen anderen Bereich um ein neues Update in der Zukunft hinzufügen."
"ID","ID"
"Rule","Regel"
"Coupon Code","Gutscheincode"
"Priority","Priorität"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Web Site","Webseite"
"Action","Aktion"
"Edit","Bearbeiten"
"Scheduled Changes","Geplante Änderungen"
"Name","Name"
"Description","Beschreibung"
"Update Information","Update Information"
"Update Name","Update Name"
"Start Date","Startdatum"
"End Date","End Date"
"Rule Information","Rule Information"
"Websites","Websites"
"Customer Groups","Kundengruppen"
"Public In RSS Feed","Im öffentlichen RSS-Feed anzeigen"
"Conditions","Conditions"
"Actions","Actions"
"Apply","Anwenden"
"Discount Amount","Rabattbetrag"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Discard subsequent rules"
"Labels","Labels"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Save as a New Update","Save as a New Update"
"Move to Another Update","Move to Another Update"
"Delete the Update","Delete the Update"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","Die Warenkorb Preisregel wird aus der Aktualisierung entfernt und alle geplanten Änderungen gehen verloren."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Startzeit"
"End Time","End Time"
"Cart Price Rules","Warenkorb Preisregeln"
"Entity Sequence profile not added to meta active profile","Entity Sequence profile not added to meta active profile"
"Not enough arguments","Nicht genug Argumente"
"File not found","Datei wurde nicht gefunden"
"Fatal Error","Schwerwiegender Fehler"
"Advanced Inventory","Lagerbestand"
"Manage Stock","Lagerbestand verwalten"
"Yes","Ja"
"No","Nein"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"[GLOBAL]","[GLOBAL]"
"Qty","Menge"
"Out-of-Stock Threshold","Nicht auf Lager Schwellenwert"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Allow Multiple Boxes for Shipping","Mehrere Pakete für Versand erlauben"
"Backorders","Backorders"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Qty Increments","Anzahl erhöhen"
"Stock Availability","Lagerverfügbarkeit"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Add Scheduled Export","CronJob konnte nicht gelöscht werden."
"Add Scheduled Import","Geplanten Import hinzufügen"
