"Add URL Rewrite for a Category","Añadir la reescritura de URL para una categoría"
"Category:","Categoría:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","No podemos establecer una reescritura de URL porque el producto que usted eligió no está asociado con un sitio Web."
"Please assign a website to the selected category.","Por favor, asignar un sitio web a la categoría seleccionada."
"Edit URL Rewrite for a Product","Editar reescritura URL para un producto"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Product:","Producto:"
"Skip Category Selection","Saltar selección de categoría"
"ID","ID"
"Name","Nombre"
"SKU","SKU"
"Status","Estatus"
"Edit URL Rewrite for CMS page","Editar reescritura URL para pagina CMS"
"Add URL Rewrite for CMS page","Añadir la reescritura de URL para la página CMS"
"CMS page:","Página CMS:"
"Please assign a website to the selected CMS page.","Por favor, asignar un sitio web a la página CMS seleccionada."
"Title","Título"
"URL Key","Clave URL"
"Store View","Vista de la tienda"
"Edit URL Rewrite","Editar Reescritura URL"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Reset","Restablecer"
"Back","Volver"
"Delete","Borrar"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Save","Guardar"
"Block Information","Bloque información"
"URL Rewrite Information","Información de reescritura URL"
"Request Path","Solicitar ruta"
"Target Path","Ruta de destino"
"Redirect Type","Tipo de redirección"
"Description","Descripción"
"Store","Tienda"
"URL Rewrite Management","Gestión de reescritura de URL"
"Add URL Rewrite","Añadir Reescritura URL"
"Custom","Personalizado"
"For Category","Para la categoría"
"For Product","Para el producto"
"For CMS page","Para Página de CMS"
"Create URL Rewrite","Crear reescritura URL"
"You deleted the URL rewrite.","Borró la reescritura de URL."
"We can't delete URL Rewrite right now.","No podemos eliminar reescritura de URL en este momento."
"URL Rewrites","Reescrituras de URL"
"The selected product isn't associated with the selected store or category.","The selected product isn't associated with the selected store or category."
"The selected category isn't associated with the selected store.","The selected category isn't associated with the selected store."
"The URL Rewrite has been saved.","La reescritura de URL se ha guardado."
"An error occurred while saving the URL rewrite. Please try to save again.","An error occurred while saving the URL rewrite. Please try to save again."
"Do not use two or more consecutive slashes in the request path.","No use dos o más barras inclinadas consecutivas en la ruta de solicitud."
"Anchor symbol (#) is not supported in request path.","El símbolo (#) no está soportado en la ruta solicitada."
"Do not use two or more consecutive slashes in the url rewrite suffix.","No use dos o más barras diagonales consecutivas en el sufijo de reescritura de Url."
"Anchor symbol (#) is not supported in url rewrite suffix.","El símbolo (#) no está soportado en el sufijo de reescritura de url."
"URL key for specified store already exists","La clave URL para la tienda especificada ya existe"
"Exception instance doesn't match %1 type","La instancia de excepción no coincide con el tipo %1"
"No","No"
"Temporary (302)","(302) Temporal"
"Permanent (301)","(301) Permanente"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"URL key for specified store already exists.","La clave de URL para la tienda especificada ya existe."
"message %1","mensaje %1"
"message","mensaje"
"Custom storage message","Mensaje personalizado de la tienda"
"Select Category","Seleccione categoría"
"The value specified in the URL Key field would generate a URL that already exists.","El valor especificado en el campo Clave de URL generaría una URL que ya existe."
"To resolve this conflict, you can either change the value of the URL Key field (located in the Search Engine Optimization section) to a unique value, or change the Request Path fields in all locations listed below:","Para resolver este conflicto, puede cambiar el valor del campo Clave de URL (ubicado en la sección Optimización de motor de búsqueda) a un valor único, o cambiar los campos de Ruta de solicitud en todas las ubicaciones enumeradas a continuación:"
"Action","Acción"
"Edit","Editar"
"Back","Volver"
"Reset","Restablecer"
"Delete Role","Eliminar Función"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Save Role","Guardar Función"
"Roles","Funciones"
"Add New Role","Añadir nuevas funciones"
"Role Information","Información de funciones"
"Role Users","Funciones del usuario"
"User ID","ID de Usuario"
"User Name","Nombre de usuario"
"First Name","Nombre"
"Last Name","Apellidos"
"Email","Correo electrónico"
"Status","Estatus"
"Active","Activo"
"Inactive","Inactivo"
"Role Resources","Recursos de la función"
"Role Info","Información de la función"
"Role Name","Nombre de la función"
"Current User Identity Verification","Verificación de identidad del usuario actual"
"Your Password","Tu contraseña"
"Add New User","Añadir nuevo usuario"
"Users","Usuarios"
"Save User","Guardar usuario"
"Delete User","Eliminar usuario"
"Are you sure you want to revoke the user's tokens?","¿Está seguro que desea revocar los token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"Edit User '%1'","Editar usuario '%1'"
"New User","Nuevo usuario"
"Account Information","Información de la cuenta"
"User Email","Correo electrónico del usuario"
"Password","Contraseña"
"New Password","Nueva Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Interface Locale","Configuración de interfaz"
"This account is","Esta cuenta es"
"Account Status","Estado de cuenta"
"User Roles Information","Información de las funciones de usuario"
"Assigned","Asignado"
"Role","Rol"
"User Information","Información de usuario"
"User Info","Información de usuario"
"User Role","Funcion del usuario"
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Please specify the correct account and try again.","Por favor, especifique la cuenta correcta e inténtelo de nuevo."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"We're unable to send the password reset email.","No podemos enviar el mensaje de restablecimiento de contraseña."
"We'll email you a link to reset your password.","Te enviaremos por email un link para restablecer tu contraseña."
"Please correct this email address:","Por favor, corregir el email:"
"Please enter an email address.","Por favor introduce una dirección de correo."
"You updated your password.","Actualizó su contraseña."
"Locked Users","Usuarios bloqueados"
"Unlocked %1 user(s).","Desbloqueo de %1 usuarios."
"System","Gestionar sistema"
"Permissions","Permisos"
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"You deleted the user.","Ha eliminado el usuario."
"We can't find a user to delete.","No se puede encontrar un usuario para eliminar."
"This user no longer exists.","Este usuario ya no existe."
"Edit User","Editar usuario"
"You have revoked the user's tokens.","Revocaste los tokens del cliente."
"We can't find a user to revoke.","No se puede encontrar un cliente para revocar."
"You cannot delete self-assigned roles.","No se pueden eliminar roles auto asignados."
"You deleted the role.","Ha eliminado el rol."
"An error occurred while deleting this role.","Ocurrió un error al eliminar esta función."
"Edit Role","Editar Funcion"
"New Role","Nueva función"
"This role no longer exists.","Este rol ya no existe."
"You saved the role.","Guardó el rol."
"An error occurred while saving this role.","Error al guardar esta funcion."
"You saved the user.","Se ha guardado el usuario."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"Recommended","Recomendado"
"Forced","Forzado"
"Sorry, but this password has already been used. Please create another.","Lo sentimos, pero esta contraseña ya ha sido utilizada. Por favor crea otro."
"email","correo electrónico"
"password","contraseña"
"username","usuario"
"More permissions are needed to access this.","More permissions are needed to access this."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
"Please enter a valid email.","Por favor ingrese un email válido."
"Password is required field.","Se requiere contraseña."
"Your password must be at least %1 characters.","Tu contraseña debe tener al menos caracteres %1."
"Your password must include both numeric and alphabetic characters.","Passwort muss sowohl numerische als auch alphabetische Zeichen enthalten."
"Your password confirmation must match your password.","La confirmación de su contraseña debe coincidir con la contraseña."
"It's time to change your password.","Es tiempo de cambiar tu contraseña."
"It's time to <a href=""%1"">change your password</a>.","Es momento de <a href=""%1""> cambiar tu contraseña</a>."
"Your password has expired; please contact your administrator.","Su contraseña ha caducado; por favor, póngase en contacto con su administrador."
"Password Help","Ayuda para contraseña"
"Enter your email address.  You will receive an email with a link to reset your password.","Introduzca su dirección de correo electrónico.  Usted recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"Email address","Dirección de correo electrónico"
"Retrieve Password","Recuperar contraseña"
"Back to Sign in","Volver a iniciar sesión"
"Forgot your password?","¿Olvidó su contraseña?"
"Reset a Password","Reinicializar contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Reset Password","Restablecer contraseña"
"Roles Resources","Funciones de recursos"
"Resource Access","Zugriff auf Ressource"
"Custom","Personalizado"
"All","Todo"
"Resources","Recursos"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Advertencia!\r\nEsta acción eliminará este usuarios de las funciones ya asignadas\r\n¿Esta seguro?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Advertencia!\r\nEsta acción eliminará esos usuarios de las funciones ya asignadas\r\n¿Esta seguro?"
"Password Reset Confirmation for %name","Confirmación de restablecer contraseña para %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Recientemente hubo una solicitud para cambiar la contraseña de su cuenta."
"If you requested this change, reset your password here:","Si solicitó este cambio, cambiar su contraseña aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no ha realizado esta solicitud, puede ignorar este mensaje y su contraseña seguirá siendo la misma."
"Thank you,","Gracias,"
"New %changes for %user_name","Nuevo %changes para %user_name"
"Hello,","Hola,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"If you have not authorized this action, please contact us immediately at %store_email","Si usted no ha autorizado esta acción, por favor contáctenos inmediatamente a %store_email"
"or call us at %store_phone","o llámenos al %store_phone"
"Thanks,","Gracias,"
"All Users","Todos los usuarios"
"User Roles","Rol del usuario"
"User Notification Template","Plantilla de notificación de usuario"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Maximum Login Failures to Lockout Account","Cantidad de fallas máximas de inicio de sesión para bloquear cuenta"
"We will disable this feature if the value is empty.","Desactivará esta función si el valor está vacío."
"Lockout Time (minutes)","Tiempo de bloqueo (minutos)"
"Password Lifetime (days)","Tiempo de vida de password (dias)"
"Password Change","Cambio de contraseña"
"Unlock","Desbloquear"
"ID","ID"
"Username","Nombre de Usuario"
"Last login","Última sesión"
"Failures","Fallos"
"Unlocked","Desbloqueado"
"First-Class Mail Large Envelope","First-Class Mail Sobre grande"
"First-Class Mail Letter","First-Class Mail Carta"
"First-Class Package Service - Retail","First-Class Package Service - Retail"
"First-Class Mail Postcards","First-Class Mail Postcards"
"Priority Mail","Correo urgente"
"Priority Mail Express Hold For Pickup","Priority Mail Express recolección"
"Priority Mail Express","Priority Mail Urgente"
"Retail Ground","Retail Ground"
"Media Mail","Correo Media"
"Library Mail","Library Mail"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate sobre"
"First-Class Mail Large Postcards","First-Class Mail Postal grande"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate sobre"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate sobre"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate sobre recolección"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate sobre recolección"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate sobre"
"Priority Mail Hold For Pickup","Priority Mail recolección"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box recolección"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box recolección"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box recolección"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate sobre recolección"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate sobre"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate sobre recolección"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate sobre"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate sobre recolección"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate sobre"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate sobre recolección"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate sobre"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate sobre recolección"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate sobre recolección"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A recolección"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B recolección"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C recolección"
"First-Class Package Service","First-Class Package Service"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate sobre"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate sobre recolección"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate sobre"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail International","Priority Mail International"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate sobre"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate sobre"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes","USPS GXG Sobres"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Large Envelope","First-Class Mail International Sobre grande"
"First-Class Package International Service","First-Class Package International Service"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate sobre"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate sobre"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate sobre"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate sobre"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate sobre"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate sobre"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box","Prioridad de la tarifa única de correo internacional con Caja de Vídeo Grande"
"Priority Mail Express International Padded Flat Rate Envelope","Prioridad de la tarifa única de correo urgente internacional con sobre acolchado"
"Letter","Carta"
"Flat","Tarifa plana"
"Parcel","Paquete"
"Variable","Variable"
"Small Flat-Rate Box","Caja pequeña de tarifa plana"
"Medium Flat-Rate Box","Caja mediana de tarifa plana"
"Large Flat-Rate Box","Caja grande de tarifa plana"
"Flat-Rate Envelope","Sobre de tarifa plana"
"Small Flat-Rate Envelope","Sobre chico de tarifa plana"
"Window Flat-Rate Envelope","Sobre de ventana de tarifa plana"
"Gift Card Flat-Rate Envelope","Sobre de regalo tarifa plana"
"Legal Flat-Rate Envelope","Sobre oficio tarifa plana"
"Padded Flat-Rate Envelope","Sobre acolchado de tarifa plana"
"Rectangular","Rectangular"
"Non-rectangular","No rectangular"
"Regular","Regular"
"Large","Grande"
"Yes","Sí"
"No","No"
"Not Required","No requerido"
"Required","Requerido"
"For some reason we can't retrieve tracking info right now.","Por alguna razón no se puede obtener la información de seguimiento en este momento."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Lo sentimos, algo salió mal. Por favor, inténtelo de nuevo o contáctenos y lo trataremos de ayudar."
"track_summary","track_summary"
"Empty response","Respuesta vacía"
"Service type does not match","El tipo de servicio no coincide"
"Merchandise","Mercancía"
"Sample","Ejemplo"
"Gift","Regalo"
"Documents","Documentos"
"Return","Devolución"
"Other","Otra"
"None","Ninguno"
"Field","Campo"
"is required.","es requerido."
"USPS","USPS"
"Enabled for Checkout","Habilitado para el proceso de pago"
"Gateway URL","URL de la pasarela"
"Secure Gateway URL","URL de Gateway seguro"
"Title","Título"
"User ID","ID de Usuario"
"Password","Contraseña"
"Mode","Modalidad"
"Packages Request Type","Tipo de solicitud de paquetes"
"Container","Contenedor"
"Size","Tamaño"
"Width","Ancho"
"Length","Longitud"
"Height","Altura"
"Girth","Circunferencia"
"Machinable","Manufacturable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo del paquete (Por favor, consulte a su transportista para la carga máxima soportada)"
"Calculate Handling Fee","Calcular el gastos de envío"
"Handling Applied","Gastos de tramitación aplicados"
"Handling Fee","Gastos de tramitación"
"Allowed Methods","Métodos permitidos"
"Free Method","Método gratuito"
"Enable Free Shipping Threshold","Habilitar umbral para envío gratuito"
"Free Shipping Amount Threshold","Umbral de cantidad para Envío Gratis"
"Displayed Error Message","Mensaje de error mostrado"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Debug","Depurar"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Sort Order","Orden de aparición"
"Custom Variables","Variables personalizadas"
"Add New Variable","Agregar nueva variable"
"Save and Continue Edit","Guardar y continuar editando"
"Custom Variable ""%1""","Variable personalizada ""%1"""
"New Custom Variable","Nueva variable personalizada"
"Variable","Variable"
"Variable Code","Código de variable"
"Variable Name","Nombre de la variable"
"Use Default Variable Values","Usar valores de variable predeterminados"
"No","No"
"Yes","Sí"
"Variable HTML Value","Valor de la variable HTML"
"Variable Plain Value","Valor de variable simple"
"You deleted the custom variable.","Se ha eliminado la variable personalizada."
"You saved the custom variable.","Se ha guardado la variable personalizada."
"Variable Code must be unique.","El código de variable debe ser único."
"Validation has failed.","La validación ha fallado."
"%1","%1"
"Insert Variable...","Insertar variable..."
"Custom Variable","Variable personalizada"
"Base URL","URL base"
"Secure Base URL","URL Base segura"
"Web","Web"
"Edit Variable","Editar variable"
"Insert Variable","Insertar variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancelar"
"Save","Guardar"
"Variable ID","Variable ID"
"Name","Nombre"
"Type","Tipo"
"Code","Código"
"No token found.","Ningún token encontrado."
"Wrong request.","Solicitud incorrecta."
"Deletion failure. Please try again.","Falla en el borrado. Por favor, inténtelo de nuevo."
"Stored Payment Method was successfully removed","El método de pago almacenado ha sido eliminado"
"Stored Payment Methods","Métodos de pago almacenados"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Card Number","Número de la tarjeta"
"Expiration Date","Fecha de vencimiento"
"Type","Tipo"
"You have no stored payment methods.","No tienes métodos de pago almacenados."
"ending","fin"
"Actions","Acciones"
"Delete","Eliminar"
"PayPal Account","Cuenta PayPal"
"Cancel","Cancelar"
"Delete Current Hierarchy","Eliminar la jerarquía actual"
"Copy","Copiar"
"Pages Hierarchy","Jerarquía de páginas"
"Page Properties","Propiedades de la página"
"Title","Título"
"URL Key","Clave URL"
"Preview","Vista previa"
"Preview is not available.","Vista previa no está disponible."
"Render Metadata in HTML Head.","Procesar los metadatos en el Head del HTML."
"First","Primero"
"Next/Previous","Siguiente/Anterior"
"Enable Chapter/Section","Activar Capítulo/Sección"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Permite la funcionalidad de capítulo/sección para este nodo, subnodos y páginas"
"Chapter/Section","Capítulo/Sección"
"Defines this node as Chapter/Section","Define este nodo como Capítulo/Sección"
"Pagination Options for Nested Pages","Opciones de paginación de páginas anidadas"
"Enable Pagination","Habilitar paginación"
"Frame","Frame"
"Set the number of links to display at one time.","Establecer el número de enlaces a mostrar a la vez."
"Frame Skip","Salto de frame"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la posición actual del frame no cubre la mayoría de las páginas, se procesará un enlace a la posición actual más/menos este valor"
"Page Navigation Menu Options","Opciones de menú de navegación de página"
"Exclude from Navigation Menu","Excluir del menú de navegación"
"Show in navigation menu.","Mostrar en el menú de navegación."
"Menu Layout","Menu Layout"
"Only Children","Sólo hijos"
"Neighbours and Children","Vecinos e hijos"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Profundidad máxima"
"Node Levels to Include","Niveles de nodos a incluir"
"List Type","Tipo de lista"
"List Style","Estilo de lista"
"Main Navigation Menu Options","Opciones de menú de navegación principal"
"Add selected page(s) to the tree","Añade página(s) seleccionada(s) a el árbol"
"Remove from tree.","Quitar del árbol."
"Cancel","Cancelar"
"Save","Guardar"
"Add Node...","Añadir nodo..."
"Add to tree.","Agregar al árbol."
"Node Properties","Propiedades del nodo"
"Page ID","ID de página"
"Manage Hierarchies","Administrar las jerarquías"
"Hierarchy","Jerarquía"
"Home","Página de inicio"
"Go to Home Page","Ir a la página de inicio"
"You copied the pages hierarchy to the selected scopes.","Has copiado la jerarquía de las páginas en los alcances seleccionados."
"Something went wrong while copying the hierarchy.","Algo salió mal al copiar la jerarquía."
"Please correct the scope.","Por favor, corregir el alcance."
"You deleted the pages hierarchy from the selected scopes.","Eliminó la jerarquía de páginas del alcance seleccionados."
"Something went wrong while deleting the hierarchy.","Algo salió mal al eliminar la jerarquía."
"CMS","CMS"
"CMS Page Trees","Árboles de páginas CMS"
"You have saved the hierarchy.","Ha guardado la jerarquía."
"Something went wrong while saving the hierarchy.","Algo salió mal al guardar la jerarquía."
"Manage Pages","Administrar páginas"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Delete Multiple Hierarchies","Eliminar múltiples jerarquías"
"Please correct the node data.","Por favor corregir los datos del nodo."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Arbol visto"
"No","No"
"Chapter","Capítulo"
"Section","Sección"
"Both","Ambos"
"Use default","Uso por defecto"
"Default","Predeterminado"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Minúsculas (a, b, c,...)"
"Upper Alpha (A, B, C, ...)","Mayúsculas (A, B, C,...)"
"Lower Roman (i, ii, iii, ...)","Minúsculas Romanos (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Mayúsculas Romanos (i, ii, iii, ...)"
"Circle","Círculo"
"Disc","Disco"
"Square","Cuadrado"
"Unordered","Sin ordenar"
"Ordered","Pedido realizado."
"Use Parent","Usar padre"
"Yes","Sí"
"Use the parent node hierarchy.","Utilizar la jerarquía de nodos padres."
"Are you sure you want to delete current hierarchy?","¿Seguro que quieres eliminar la jerarquía actual?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página no se puede agregar, porque un nodo o página con la misma clave URL ya existe en esta parte del árbol."
"This URL key is already in use.","Esta URL key ya está en uso."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Por favor seleccione un sitio web o una vista de tienda."
"Are you sure you want to copy the current hierarchy to the selected destinations?","¿Seguro que quieres copiar la jerarquía actual a los destinos seleccionados?"
"Are you sure you want to delete the selected hierarchies?","¿Seguro que quieres eliminar las jerarquías seleccionadas?"
"Delete","Borrar"
"Please select one or more hierarchies to delete.","Seleccione una o más jerarquías para eliminar."
"Please assign the current hierarchy to one or more destinations.","Asigne la jerarquía actual a uno o más destinos."
"Root","Raíz"
"No nodes are available","No hay nodos disponibles"
"Single Hierarchy for All Store Views","Jerarquía única para todos los Store Views"
"Specific Hierarchy for Each Store View","Jerarquía específica para cada vista de tienda"
"CMS Hierarchy for","Jerarquía CMS para"
"Anchor Custom Text","Ancla Texto personalizado"
"If this value is empty, the node or page name will be used.","Si este valor está vacío, se usará el nodo o el nombre de la página."
"Anchor Custom Title","Anclar título personalizado"
"Node","Nodo"
"Not Selected","No seleccionado"
"Select a page or node.","Seleccione una página o nodo."
"Parent page","Página padre"
"Website Root","Website Root"
"Page:","Página:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Actualmente estás leyendo página"
"Next","Siguiente"
"Delete Revision and Version","Eliminar revisión y versión"
"Publish Revision","Publicación revisión"
"Pages","Páginas"
"CMS Page Hierarchy","Jerarquía de la página CMS"
"Enable Hierarchy Functionality","Habilitar la funcionalidad de la jerarquía"
"Enable Hierarchy Metadata","Habilitar Metadata de Jerarquía"
"Default Layout for Hierarchy Menu","Diseño predeterminado para menú de jerarquía"
"CMS Hierarchy","Jerarquía CMS"
"CMS Hierarchy Node Link","Enlace de nodo de jerarquía CMS"
"Link to Specified CMS Hierarchy Node","Enlace a Nodo específico de jerarquía CMS"
"Template","Plantilla"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"All Store Views","Todas las vistas de la tienda"
"Search All Products","Buscar productos"
"Add Product by SKU","Añadir artículos por SKU"
"Position","Posición"
"Action","Acción"
"Unassign","Sin asignar"
"Top","Arriba"
"Bottom","Abajo"
"Choose a selection...","Elija una selección..."
"Page not found.","Página no encontrada."
"No SKU entered","No SKU proporcionado"
"Undefined Action","Acción no definido"
"Products with the following SKUs do not exist: %s","No existen productos con los siguientes SKU: %s"
"%s SKU(s) processed successfully","%s SKU(s) procesado(s) con éxito"
"On Top","En la parte superior"
"On Bottom","En la parte inferior"
"Rule %1 does not exists","Rule %1 does not exists"
"Category rules validation failed","Las reglas de validación de categoría fallaron"
"Clone category ID(s)","Clonar ID(s) de categoría"
"Date Created (days ago)","Fecha de creación (días)"
"Date Modified (days ago)","Fecha modificada (días atrás)"
"Error in reading category rules","Error en la lectura de las reglas de la categoría"
"There was no category rules to apply","No había ninguna regla de categoría pàra aplicar"
"Category rules applied","Reglas de categoría aplicadas"
"Equal","Igual"
"Not equal","No igual"
"Greater than","Mayor que"
"Greater than or equal to","Mayor o igual a"
"Less than","Menor que"
"Less than or equal to","Menor o igual a"
"Contains","Contiene"
"Error in yes/no format","Error en formato sí/no"
"Category ID '%1' not found","ID de la categoría '%1' no encontrado"
"%1 doesn't implement SortInterface","%1 no implementa SortInterface"
"Move low stock to top","Mover stock bajo hacia arriba"
"Name: A - Z","Nombre: A - Z"
"Name: Z - A","Nombre: Z - A"
"Newest products first","Productos más nuevos primero"
"Move out of stock to bottom","Mover fuera de stock al fondo"
"Price: High to low","Precio: De alto a bajo"
"Price: Low to high","Precio: De bajo a alto"
"SKU: Ascending","SKU: ascendente"
"SKU: Descending","SKU: descendente"
"Sort by color","Ordenar por color"
"Special price to bottom","Precio especial a fondo"
"Special price to top","Precio especial al principio"
